,clientkey,address1,latitude,longitude
0,6181,4000 Glenside Drive,37.6136830769231,-77.4986
1,184,7552 West Broad Street,37.6180911428571,-77.5234142857143
2,508,4340 S. Laburnum Avenue,37.5293801010101,-77.3586164646465
3,2732,3978 Meadowdale Blvd,37.4376578209925,-77.4673414339163
4,3081,8920 Patterson Ave,37.5951465306122,-77.5737844897959
6,5883,12000 Ridgefield Pkwy. .,37.62404,-77.63796
8,539,7300 Midlothian Turnpike Suite A,37.5005071042809,-77.5309382160271
9,1021,1305 CarMia Way,37.5092883212212,-77.6029158716736
10,4116,1236 Concord Ave,37.6362614505133,-77.4598311433272
12,7215,1320 N Laburnum Ave.,37.5626314,-77.3772517
15,8931,5174 Nine Mile Rd,37.5499585,-77.3581942
16,9192,502 E Laburnum Ave,37.586688,-77.4251042
18,7920,6335 Jahnke Road,37.5193285,-77.5134357
20,784,"11740 W Broad St, #101",37.6525258823529,-77.6174758823529
21,5216,5270-A Chamberlayne Rd,37.603694139814,-77.4505526082147
22,5281,315 Cowardin Ave,37.52143,-77.45049
24,137,2430 Sheila Lane,37.5339388686287,-77.5321358817387
25,510,4925 West Broad Street Suite 404,37.5831258536585,-77.4953031707317
